class,NprotM,BOvR,ATFD,ATLD,LAA,BUR
com.alibaba.fastjson.parser.deserializer.ThrowableDeserializer,8.0,0.6666667,43.0,1.0,0.022727273,0.0
com.alibaba.fastjson.JSONPath$NotNullSegement,1.0,0.0,1.0,2.0,0.6666667,0.0
com.alibaba.fastjson.serializer.BeanContext,0.0,-1.0,9.0,2.0,0.18181819,-1.0
com.alibaba.fastjson.serializer.LongCodec,0.0,-1.0,15.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.JodaCodec,0.0,-1.0,47.0,43.0,0.47777778,-1.0
com.alibaba.fastjson.util.AntiCollisionHashMap$ValueIterator,0.0,0.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.JSONPath$KeySetSegment,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.util.Base64,0.0,-1.0,0.0,21.0,1.0,-1.0
com.alibaba.fastjson.support.spring.FastjsonSockJsMessageCodec,0.0,0.0,2.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.SimplePropertyPreFilter,0.0,-1.0,2.0,8.0,0.8,-1.0
com.alibaba.fastjson.JSONPath$MinSegment,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.parser.deserializer.PropertyProcessableDeserializer,0.0,-1.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.JSONException,0.0,0.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.JSONPath$PropertySegment,0.0,-1.0,50.0,25.0,0.33333334,-1.0
com.alibaba.fastjson.util.AntiCollisionHashMap$KeyIterator,0.0,0.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.ByteBufferCodec$ByteBufferBean,0.0,-1.0,0.0,3.0,1.0,-1.0
com.alibaba.fastjson.support.hsf.HSFJSONUtils,0.0,-1.0,26.0,7.0,0.21212122,-1.0
com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter,0.0,0.0,41.0,7.0,0.14583333,-1.0
com.alibaba.fastjson.serializer.SerializeFilterable,0.0,-1.0,6.0,61.0,0.9104478,-1.0
com.alibaba.fastjson.support.spring.FastJsonpResponseBodyAdvice,0.0,-1.0,3.0,2.0,0.4,-1.0
com.alibaba.fastjson.support.geo.Geometry,0.0,-1.0,0.0,3.0,1.0,-1.0
com.alibaba.fastjson.JSONValidator$UTF8Validator,2.0,1.0,1.0,7.0,0.875,0.0
com.alibaba.fastjson.asm.Type,0.0,-1.0,0.0,31.0,1.0,-1.0
com.alibaba.fastjson.serializer.SerializeConfig,0.0,-1.0,220.0,43.0,0.1634981,-1.0
com.alibaba.fastjson.support.spring.PropertyPreFilters$MySimplePropertyPreFilter,0.0,0.0,4.0,0.0,0.0,-1.0
com.alibaba.fastjson.support.geo.MultiLineString,0.0,0.0,0.0,2.0,1.0,-1.0
com.alibaba.fastjson.serializer.AdderSerializer,0.0,-1.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.util.IdentityHashMap,0.0,-1.0,11.0,9.0,0.45,-1.0
com.alibaba.fastjson.JSONWriter,0.0,-1.0,34.0,10.0,0.22727273,-1.0
com.alibaba.fastjson.JSONPath$IntInSegement,1.0,0.0,1.0,3.0,0.75,0.0
com.alibaba.fastjson.JSONPathException,0.0,0.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.support.spring.FastJsonHttpMessageConverter4,4.0,1.0,0.0,0.0,-1.0,0.0
com.alibaba.fastjson.support.geo.MultiPoint,0.0,0.0,0.0,2.0,1.0,-1.0
com.alibaba.fastjson.parser.deserializer.FieldDeserializer,0.0,-1.0,66.0,6.0,0.083333336,-1.0
com.alibaba.fastjson.serializer.FloatCodec,0.0,-1.0,8.0,1.0,0.11111111,-1.0
com.alibaba.fastjson.support.spring.FastJsonViewResponseBodyAdvice,0.0,-1.0,4.0,1.0,0.2,-1.0
com.alibaba.fastjson.parser.deserializer.TimeDeserializer,0.0,-1.0,12.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.DoubleSerializer,0.0,-1.0,2.0,1.0,0.33333334,-1.0
com.alibaba.fastjson.JSONPath$StringOpSegement,1.0,0.0,7.0,6.0,0.46153846,0.0
com.alibaba.fastjson.parser.DefaultExtJSONParser,0.0,0.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.serializer.AtomicCodec,0.0,-1.0,15.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.ASMSerializerFactory,0.0,-1.0,1160.0,166.0,0.12518854,-1.0
com.alibaba.fastjson.serializer.StringCodec,0.0,-1.0,16.0,0.0,0.0,-1.0
com.alibaba.fastjson.parser.deserializer.OptionalCodec,0.0,-1.0,12.0,0.0,0.0,-1.0
com.alibaba.fastjson.support.springfox.SwaggerJsonSerializer,0.0,-1.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.JSONValidator$UTF8InputStreamValidator,2.0,1.0,2.0,23.0,0.92,0.0
com.alibaba.fastjson.JSONValidator$ReaderValidator,2.0,1.0,2.0,23.0,0.92,0.0
com.alibaba.fastjson.util.AntiCollisionHashMap$EntrySet,0.0,0.0,3.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.ListSerializer,0.0,-1.0,24.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.CollectionCodec,0.0,-1.0,24.0,0.0,0.0,-1.0
com.alibaba.fastjson.JSONPatch$Operation,0.0,-1.0,0.0,0.0,-1.0,-1.0
com.alibaba.fastjson.JSONPath$IntBetweenSegement,1.0,0.0,1.0,4.0,0.8,0.0
com.alibaba.fastjson.serializer.ArraySerializer,0.0,-1.0,10.0,1.0,0.09090909,-1.0
com.alibaba.fastjson.parser.JSONLexerBase,0.0,-1.0,610.0,1503.0,0.7113109,-1.0
com.alibaba.fastjson.serializer.JSONLibDataFormatSerializer,0.0,-1.0,9.0,0.0,0.0,-1.0
com.alibaba.fastjson.support.jaxrs.FastJsonProvider,0.0,-1.0,29.0,10.0,0.25641027,-1.0
com.alibaba.fastjson.parser.JSONReaderScanner,7.0,1.0,26.0,91.0,0.7777778,0.0
com.alibaba.fastjson.JSONPath,0.0,-1.0,204.0,65.0,0.2416357,-1.0
com.alibaba.fastjson.serializer.AnnotationSerializer,0.0,-1.0,8.0,17.0,0.68,-1.0
com.alibaba.fastjson.support.spring.PropertyPreFilters,0.0,-1.0,0.0,2.0,1.0,-1.0
com.alibaba.fastjson.serializer.ClobSerializer,0.0,-1.0,2.0,0.0,0.0,-1.0
com.alibaba.fastjson.serializer.JSONSerializer,4.0,0.0,28.0,52.0,0.65,0.0
com.alibaba.fastjson.serializer.DateCodec,1.0,0.33333334,93.0,0.0,0.0,0.0
com.alibaba.fastjson.JSONPath$ValueSegment,1.0,0.0,1.0,1.0,0.5,0.0
com.alibaba.fastjson.parser.SymbolTable,0.0,-1.0,1.0,7.0,0.875,-1.0
com.alibaba.fastjson.asm.MethodWriter,0.0,-1.0,32.0,16.0,0.33333334,-1.0
com.alibaba.fastjson.JSONPath$FilterSegment,0.0,-1.0,1.0,0.0,0.0,-1.0
com.alibaba.fastjson.support.geo.Point,0.0,0.0,2.0,11.0,0.84615386,-1.0
com.alibaba.fastjson.JSONArray,0.0,0.0,7.0,26.0,0.7878788,-1.0
com.alibaba.fastjson.JSONValidator,0.0,-1.0,9.0,89.0,0.90816325,-1.0
com.alibaba.fastjson.support.geo.FeatureCollection,0.0,0.0,0.0,1.0,1.0,-1.0
