class,NprotM,BOvR
org.jsoup.select.Evaluator$AllElements,2.0,0.6666667
org.jsoup.select.StructuralEvaluator$ImmediatePreviousSibling,2.0,0.6666667
org.jsoup.select.Selector,0.0,0.0
org.jsoup.nodes.EntitiesData,0.0,NaN
org.jsoup.nodes.Attributes$Dataset$DatasetIterator,0.0,0.0
org.jsoup.nodes.DocumentType,16.0,0.25
org.jsoup.examples.HtmlToPlainText$FormattingVisitor,0.0,0.0
org.jsoup.helper.HttpConnection$Base,0.0,0.0
org.jsoup.select.Nodes,0.0,0.0
org.jsoup.nodes.TextNode,16.0,0.23076923
org.jsoup.examples.ListLinks,0.0,0.0
org.jsoup.helper.HttpConnection$Request,0.0,0.0
org.jsoup.parser.TokenData,0.0,0.0
org.jsoup.select.QueryParser,0.0,0.0
org.jsoup.select.Evaluator$AttributeKeyPair,2.0,NaN
org.jsoup.parser.Token,0.0,0.0
org.jsoup.Jsoup,0.0,0.0
org.jsoup.helper.W3CDom$W3CBuilder,0.0,0.0
org.jsoup.nodes.NodeUtils,0.0,0.0
org.jsoup.parser.Token$EndTag,0.0,1.0
org.jsoup.internal.Normalizer,0.0,0.0
org.jsoup.select.StructuralEvaluator$Root,2.0,0.6666667
org.jsoup.nodes.Element$NodeList,0.0,0.0
org.jsoup.nodes.Range$Position,0.0,0.0
org.jsoup.select.Evaluator$IsFirstChild,2.0,0.5
org.jsoup.select.Evaluator$MatchesOwn,2.0,0.6666667
org.jsoup.select.NodeTraversor,0.0,0.0
org.jsoup.parser.XmlTreeBuilder,0.0,0.3809524
org.jsoup.select.Evaluator$IsOnlyChild,2.0,0.5
org.jsoup.select.Evaluator$Id,2.0,0.6666667
org.jsoup.select.Evaluator$AttributeWithValue,2.0,0.6666667
org.jsoup.UnsupportedMimeTypeException,0.0,0.0
org.jsoup.helper.HttpConnection,0.0,0.0
org.jsoup.select.NodeEvaluator$ContainsValue,2.0,0.6666667
org.jsoup.select.StructuralEvaluator$Is,2.0,0.6666667
org.jsoup.select.Evaluator$TagEndsWith,2.0,0.5
org.jsoup.select.Evaluator$AttributeWithValueStarting,2.0,0.6666667
org.jsoup.parser.Tokeniser,0.0,0.0
org.jsoup.parser.Token$CData,0.0,1.0
org.jsoup.select.Evaluator$MatchesWholeOwnText,2.0,0.6666667
org.jsoup.select.Evaluator$IndexEvaluator,2.0,NaN
org.jsoup.nodes.Attributes$Dataset,0.0,0.0
org.jsoup.nodes.Printer$Outline,0.0,1.0
org.jsoup.nodes.Entities,0.0,0.0
org.jsoup.internal.ControllableInputStream,0.0,0.0
org.jsoup.parser.HtmlTreeBuilderState$Constants,0.0,NaN
org.jsoup.safety.Safelist$AttributeKey,0.0,0.0
org.jsoup.safety.Cleaner$CleaningVisitor,0.0,0.0
org.jsoup.parser.Tag,0.0,0.0
org.jsoup.parser.Token$Tag,0.0,0.0
org.jsoup.select.Evaluator$Tag,2.0,0.6666667
org.jsoup.nodes.Attributes,0.0,0.0
org.jsoup.select.Evaluator$ContainsWholeOwnText,2.0,0.5
org.jsoup.helper.DataUtil$CharsetDoc,0.0,NaN
org.jsoup.nodes.Printer,0.0,0.0
org.jsoup.select.Evaluator$IsNthLastOfType,4.0,1.0
org.jsoup.select.Evaluator$MatchesWholeText,2.0,0.6666667
org.jsoup.select.Evaluator$CssNthEvaluator,2.0,0.25
org.jsoup.helper.UrlBuilder,0.0,0.0
org.jsoup.nodes.Comment,16.0,0.25
org.jsoup.parser.Token$Comment,0.0,0.2
org.jsoup.select.Evaluator$ContainsOwnText,2.0,0.5
org.jsoup.helper.HttpConnection$KeyVal,0.0,0.0
org.jsoup.select.Evaluator$IndexGreaterThan,2.0,0.5
org.jsoup.parser.ParseSettings,0.0,0.0
org.jsoup.parser.Token$Character,0.0,0.16666667
org.jsoup.parser.ParseErrorList,0.0,0.0
org.jsoup.select.Selector$SelectorParseException,0.0,NaN
org.jsoup.nodes.Range,0.0,0.0
org.jsoup.parser.Token$StartTag,0.0,0.6666667
org.jsoup.select.Evaluator$IsNthChild,4.0,1.0
org.jsoup.select.Evaluator$IsOnlyOfType,2.0,0.5
org.jsoup.nodes.Document$OutputSettings,0.0,0.0
org.jsoup.parser.StreamParser,0.0,0.0
org.jsoup.select.CombiningEvaluator$And,2.0,0.6666667
org.jsoup.nodes.Attributes$Dataset$EntrySet,0.0,0.0
org.jsoup.examples.HtmlToPlainText,0.0,0.0
org.jsoup.safety.Safelist$TagName,0.0,0.0
org.jsoup.select.Evaluator$IsEmpty,2.0,0.5
org.jsoup.helper.Regex$JdkMatcher,0.0,0.0
org.jsoup.select.Evaluator$IndexLessThan,2.0,0.5
org.jsoup.parser.HtmlTreeBuilder,0.0,0.05319149
org.jsoup.helper.RequestDispatch,0.0,0.0
org.jsoup.parser.ParseError,0.0,0.0
org.jsoup.select.Collector,0.0,0.0
org.jsoup.select.Evaluator$IsNthLastChild,4.0,1.0
org.jsoup.SerializationException,0.0,NaN
org.jsoup.helper.W3CDom,0.0,0.0
org.jsoup.nodes.NodeIterator,0.0,0.0
org.jsoup.internal.SimpleBufferedInput,0.0,0.0
org.jsoup.select.Evaluator$IsLastChild,2.0,0.5
org.jsoup.internal.SoftPool,0.0,0.0
org.jsoup.helper.HttpConnection$Response,0.0,0.0
org.jsoup.nodes.Element$TextAccumulator,0.0,0.0
org.jsoup.select.Evaluator$IsLastOfType,4.0,1.0
