File,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\AntiCollisionHashMap.java,com.alibaba.fastjson.util.AntiCollisionHashMap$EntryIterator,0.0,0.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\ParameterizedTypeImpl.java,com.alibaba.fastjson.util.ParameterizedTypeImpl,0.0,-1.0,2.0,13.0,0.8666667,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\CalendarCodec.java,com.alibaba.fastjson.serializer.CalendarCodec,0.0,0.33333334,52.0,2.0,0.037037037,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\PascalNameFilter.java,com.alibaba.fastjson.serializer.PascalNameFilter,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\AntiCollisionHashMap.java,com.alibaba.fastjson.util.AntiCollisionHashMap,0.0,0.0,63.0,60.0,0.4878049,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\AntiCollisionHashMap.java,com.alibaba.fastjson.util.AntiCollisionHashMap$Entry,0.0,-1.0,2.0,10.0,0.8333333,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\IdentityHashMap.java,com.alibaba.fastjson.util.IdentityHashMap$Entry,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\SqlDateDeserializer.java,com.alibaba.fastjson.parser.deserializer.SqlDateDeserializer,1.0,0.33333334,13.0,1.0,0.071428575,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\TypeReference.java,com.alibaba.fastjson.TypeReference,0.0,-1.0,7.0,1.0,0.125,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\MiscCodec.java,com.alibaba.fastjson.serializer.MiscCodec,0.0,-1.0,76.0,6.0,0.07317073,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\ModuleUtil.java,com.alibaba.fastjson.util.ModuleUtil,0.0,-1.0,0.0,3.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\UTF8Decoder.java,com.alibaba.fastjson.util.UTF8Decoder,0.0,0.0,11.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\JSONSerializableSerializer.java,com.alibaba.fastjson.serializer.JSONSerializableSerializer,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\AntiCollisionHashMap.java,com.alibaba.fastjson.util.AntiCollisionHashMap$KeySet,0.0,0.0,1.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\SimpleDateFormatSerializer.java,com.alibaba.fastjson.serializer.SimpleDateFormatSerializer,0.0,-1.0,3.0,1.0,0.25,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\spring\FastJsonRedisSerializer.java,com.alibaba.fastjson.support.spring.FastJsonRedisSerializer,0.0,-1.0,14.0,3.0,0.1764706,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$DoubleOpSegement,1.0,0.0,7.0,7.0,0.5,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\asm\FieldWriter.java,com.alibaba.fastjson.asm.FieldWriter,0.0,-1.0,0.0,3.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\ArrayListTypeFieldDeserializer.java,com.alibaba.fastjson.parser.deserializer.ArrayListTypeFieldDeserializer,0.0,0.6666667,53.0,8.0,0.13114753,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\AfterFilter.java,com.alibaba.fastjson.serializer.AfterFilter,0.0,-1.0,9.0,1.0,0.1,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\IOUtils.java,com.alibaba.fastjson.util.IOUtils,0.0,-1.0,12.0,35.0,0.7446808,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$IntOpSegement,1.0,0.0,25.0,19.0,0.4318182,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONReader.java,com.alibaba.fastjson.JSONReader,0.0,-1.0,73.0,25.0,0.25510204,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\ToStringSerializer.java,com.alibaba.fastjson.serializer.ToStringSerializer,0.0,-1.0,1.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\jaxrs\FastJsonAutoDiscoverable.java,com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable,0.0,-1.0,3.0,1.0,0.25,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\spring\FastJsonContainer.java,com.alibaba.fastjson.support.spring.FastJsonContainer,0.0,-1.0,0.0,4.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$Context,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\ASMDeserializerFactory.java,com.alibaba.fastjson.parser.deserializer.ASMDeserializerFactory$Context,0.0,-1.0,13.0,4.0,0.23529412,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\ASMSerializerFactory.java,com.alibaba.fastjson.serializer.ASMSerializerFactory$Context,0.0,-1.0,5.0,4.0,0.44444445,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\FieldInfo.java,com.alibaba.fastjson.util.FieldInfo,0.0,-1.0,62.0,39.0,0.38613862,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\JavaBeanInfo.java,com.alibaba.fastjson.util.JavaBeanInfo,0.0,-1.0,178.0,8.0,0.043010753,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\parser\deserializer\StackTraceElementDeserializer.java,com.alibaba.fastjson.parser.deserializer.StackTraceElementDeserializer,0.0,-1.0,36.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\BeforeFilter.java,com.alibaba.fastjson.serializer.BeforeFilter,0.0,-1.0,8.0,1.0,0.11111111,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\EnumerationSerializer.java,com.alibaba.fastjson.serializer.EnumerationSerializer,0.0,-1.0,9.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\asm\Label.java,com.alibaba.fastjson.asm.Label,0.0,-1.0,5.0,22.0,0.8148148,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\CharacterCodec.java,com.alibaba.fastjson.serializer.CharacterCodec,0.0,-1.0,2.0,0.0,0.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\util\RyuDouble.java,com.alibaba.fastjson.util.RyuDouble,0.0,-1.0,2.0,2.0,0.5,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$RegMatchSegement,1.0,0.0,1.0,0.0,0.0,0.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\support\geo\GeometryCollection.java,com.alibaba.fastjson.support.geo.GeometryCollection,0.0,0.0,0.0,1.0,1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\FieldSerializer.java,com.alibaba.fastjson.serializer.FieldSerializer$RuntimeSerializerInfo,0.0,-1.0,0.0,0.0,-1.0,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$WildCardSegment,0.0,-1.0,5.0,3.0,0.375,-1.0
C:\Users\sugii syuji\fastjson\src\main\java\com\alibaba\fastjson\serializer\IntegerCodec.java,com.alibaba.fastjson.serializer.IntegerCodec,0.0,-1.0,16.0,0.0,0.0,-1.0
